seconds	hours	well	OD600	OD600_rollmean	plate	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	strep_conc_ugml	dilution	plate_name	start_hrs_from_0
0	0	B01	0.123	0.12233333333333334	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
1200	0.3333333333333333	B01	0.122	0.12225	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
2400	0.6666666666666666	B01	0.122	0.1224	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
3600	1	B01	0.122	0.1224	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
4800	1.3333333333333333	B01	0.123	0.1226	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
6000	1.6666666666666667	B01	0.123	0.123	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
7200	2	B01	0.123	0.1234	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
8400	2.3333333333333335	B01	0.124	0.124	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
9600	2.6666666666666665	B01	0.124	0.1248	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
10800	3	B01	0.126	0.1262	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
12000	3.3333333333333335	B01	0.127	0.1282	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
13200	3.6666666666666665	B01	0.13	0.1312	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
14400	4	B01	0.134	0.1352	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
15600	4.333333333333333	B01	0.139	0.1408	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
16800	4.666666666666667	B01	0.146	0.1484	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
18000	5	B01	0.155	0.1586	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
19200	5.333333333333333	B01	0.168	0.1722	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
20400	5.666666666666667	B01	0.185	0.1884	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
21600	6	B01	0.207	0.2076	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
22800	6.333333333333333	B01	0.227	0.2298	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
24000	6.666666666666667	B01	0.251	0.2542	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
25200	7	B01	0.279	0.2814	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
26400	7.333333333333333	B01	0.307	0.3134	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
27600	7.666666666666667	B01	0.343	0.3524	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
28800	8	B01	0.387	0.3984	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
30000	8.333333333333334	B01	0.446	0.4512	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
31201	8.666944444444445	B01	0.509	0.5108	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
32400	9	B01	0.571	0.5784	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
33600	9.333333333333334	B01	0.641	0.6486	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
34800	9.666666666666666	B01	0.725	0.7258	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
36001	10.000277777777775	B01	0.797	0.8024	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
37201	10.33361111111111	B01	0.895	0.8666	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
38401	10.666944444444445	B01	0.954	0.917	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
39601	11.000277777777775	B01	0.962	0.9546	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
40801	11.33361111111111	B01	0.977	0.9744	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
42001	11.666944444444445	B01	0.985	0.9848	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
43201	12.000277777777775	B01	0.994	0.996	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
44401	12.33361111111111	B01	1.006	1.0056	2	H1287	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
