y0	mumax	r2	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	plate_name	streptomycin
0.12195533835962663	0.002420958909837425	0.9707380073360724	NA	NA	NA	b	diffusion_test_broth_start	F01F02	M9	plate01	NA
0.04410338050768316	0.27262150675230007	0.9995713933139432	H1287	anc	NA	b	diffusion_test_broth_start	F01F02	R2A	plate01	NA
0.13972640497663877	0.0013557583134092257	0.9974539691965044	NA	NA	NA	b	diffusion_test_broth_start	F03F04	M9	plate01	NA
0.032433531411261304	0.21665729069779593	0.9998301568540857	H1287	evo	NA	b	diffusion_test_broth_start	F03F04	R2A	plate01	NA
0.1290275450467326	0.0027441215802313026	0.9937037207525917	NA	NA	NA	b	diffusion_test_broth_start	F05F06	M9	plate01	NA
0.022849098014571273	0.23031085978768157	0.9999395812297467	H1977	anc	NA	b	diffusion_test_broth_start	F05F06	R2A	plate01	NA
0.12782878915529525	0.002822970001811586	0.990240373989479	NA	NA	NA	b	diffusion_test_broth_start	F07F08	M9	plate01	NA
0.01477427268400932	0.2671023485732302	0.9998922238437841	H1977	evo	NA	b	diffusion_test_broth_start	F07F08	R2A	plate01	NA
0.0074485588998194205	0.06495403772013396	0.9960191452134457	NA	NA	NA	b	monoculture	F09F10	R2A	plate01	NA
0.02920817813951461	0.22813282999643725	0.9998804231149708	H1287	evo	NA	b	monoculture	F09F10	R2A	plate01	NA
0.14475969960949084	1.0709591984871607e-4	0.9967876430548613	NA	NA	NA	b	monoculture	F11F12	R2A	plate01	NA
0.015544599560361456	0.240129665433584	0.9999427438063699	H1977	evo	NA	b	monoculture	F11F12	R2A	plate01	NA
0.13500988953502494	0.0016560186018529336	0.97166213374749	NA	NA	NA	c	diffusion_test_broth_start	G01G02	M9	plate01	NA
0.04564613284809203	0.2642277001270506	0.9995923842714729	H1287	anc	NA	c	diffusion_test_broth_start	G01G02	R2A	plate01	NA
0.11577450762498397	0.0034864423278612054	0.9682394396326075	NA	NA	NA	c	diffusion_test_broth_start	G03G04	M9	plate01	NA
0.03422539673689684	0.21502663563682284	0.9998060654953856	H1287	evo	NA	c	diffusion_test_broth_start	G03G04	R2A	plate01	NA
0.14480280228957482	0.007150372738184364	0.9715593775788413	NA	NA	NA	c	diffusion_test_broth_start	G05G06	M9	plate01	NA
0.018919345983383153	0.2519089949187725	0.999939532756826	H1977	anc	NA	c	diffusion_test_broth_start	G05G06	R2A	plate01	NA
0.12919511254984303	0.0025597920936760773	0.9932028290520558	NA	NA	NA	c	diffusion_test_broth_start	G07G08	M9	plate01	NA
0.01501674641696624	0.24978929465971642	0.9999386279762655	H1977	evo	NA	c	diffusion_test_broth_start	G07G08	R2A	plate01	NA
0.14427987267896777	6.066399568487142e-4	0.9938136229321913	NA	NA	NA	c	monoculture	G09G10	R2A	plate01	NA
0.029919637673435754	0.2348146664468167	0.9998482740022921	H1287	evo	NA	c	monoculture	G09G10	R2A	plate01	NA
0.13573728201827384	0.002453185690999323	0.977834465487727	NA	NA	NA	c	monoculture	G11G12	R2A	plate01	NA
0.011979308228280229	0.282484896532329	0.9999217756133578	H1977	evo	NA	c	monoculture	G11G12	R2A	plate01	NA
0.046862368682782075	0.3127039358988242	0.9997704510064332	H1287	anc	A1287_E1287	a	coculture	B01B02	R2A	plate02	0
0.043954465479999795	0.19878214999016863	0.9998709224967016	H1287	evo	A1287_E1287	a	coculture	B01B02	R2A	plate02	0
0.04966505854510506	0.29993863859667175	0.9996840813998755	H1287	anc	A1287_A1977	a	coculture	B03B04	R2A	plate02	0
0.018807843656644424	0.2681150523874281	0.9999456322484582	H1977	anc	A1287_A1977	a	coculture	B03B04	R2A	plate02	0
0.06560705719514459	0.2668365821544482	0.9997356658713047	H1287	anc	A1287_E1977	a	coculture	B05B06	R2A	plate02	0
0.01321663496331256	0.23716275800041264	0.9999128213402805	H1977	evo	A1287_E1977	a	coculture	B05B06	R2A	plate02	0
