seconds	hours	well	OD600	OD600_rollmean	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	streptomycin	plate_name	strainID
0	0	B12	0.148	0.14733333333333332	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
1200	0.3333333333333333	B12	0.147	0.14725	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
2400	0.6666666666666666	B12	0.147	0.1472	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
3600	1	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
4800	1.3333333333333333	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
6000	1.6666666666666667	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
7200	2	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
8400	2.3333333333333335	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
9600	2.6666666666666665	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
10800	3	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
12000	3.3333333333333335	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
13200	3.6666666666666665	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
14400	4	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
15600	4.333333333333333	B12	0.147	0.1472	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
16800	4.666666666666667	B12	0.147	0.1474	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
18000	5	B12	0.148	0.1478	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
19200	5.333333333333333	B12	0.148	0.1482	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
20401	5.666944444444445	B12	0.149	0.1488	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
21601	6.000277777777778	B12	0.149	0.14959999999999998	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
22801	6.333611111111111	B12	0.15	0.1502	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
24001	6.666944444444445	B12	0.152	0.1512	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
25201	7.000277777777778	B12	0.151	0.1528	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
26401	7.333611111111111	B12	0.154	0.1544	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
27601	7.666944444444445	B12	0.157	0.1566	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
28801	8.000277777777777	B12	0.158	0.1604	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
30001	8.33361111111111	B12	0.163	0.1642	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
31201	8.666944444444445	B12	0.17	0.1722	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
32401	9.000277777777777	B12	0.173	0.1804	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
33601	9.33361111111111	B12	0.197	0.1886	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
34801	9.666944444444445	B12	0.199	0.1984	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
36001	10.000277777777775	B12	0.204	0.2118	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
37201	10.33361111111111	B12	0.219	0.2258	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
38401	10.666944444444445	B12	0.24	0.2448	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
39601	11.000277777777775	B12	0.267	0.2686	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
40801	11.33361111111111	B12	0.294	0.2944	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
42001	11.666944444444445	B12	0.323	0.3222	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
43201	12.000277777777775	B12	0.348	0.3514	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
44401	12.33361111111111	B12	0.379	0.3824	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
45601	12.666944444444445	B12	0.413	0.4144	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
46801	13.000277777777775	B12	0.449	0.4466	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
48001	13.33361111111111	B12	0.483	0.4798	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
49201	13.666944444444445	B12	0.509	0.5162	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
50401	14.000277777777775	B12	0.545	0.5498	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
51601	14.33361111111111	B12	0.595	0.5824	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
52801	14.666944444444445	B12	0.617	0.6128	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
54001	15.000277777777775	B12	0.646	0.6404	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
55201	15.33361111111111	B12	0.661	0.6638000000000001	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
56401	15.666944444444445	B12	0.683	0.6864	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
57601	16.00027777777778	B12	0.712	0.7064	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
58801	16.33361111111111	B12	0.73	0.7264	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
60001	16.666944444444443	B12	0.746	0.7452	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
61201	17.00027777777778	B12	0.761	0.7604	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
62401	17.33361111111111	B12	0.777	0.7772	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
63601	17.666944444444443	B12	0.788	0.792	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
64801	18.00027777777778	B12	0.814	0.8062	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
66001	18.33361111111111	B12	0.82	0.817	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
67201	18.666944444444443	B12	0.832	0.8293999999999999	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
68401	19.00027777777778	B12	0.831	0.8392	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
69601	19.33361111111111	B12	0.85	0.8508	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
70801	19.666944444444443	B12	0.863	0.8658	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
72001	20.00027777777778	B12	0.878	0.884	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
73201	20.33361111111111	B12	0.907	0.8958	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
74401	20.666944444444443	B12	0.922	0.9092	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
75601	21.00027777777778	B12	0.909	0.9218	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
76801	21.33361111111111	B12	0.93	0.9314	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
78001	21.666944444444443	B12	0.941	0.941	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
79201	22.00027777777778	B12	0.955	0.9546	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
80401	22.33361111111111	B12	0.97	0.9664	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
81601	22.666944444444443	B12	0.977	0.9778	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
82801	23.00027777777778	B12	0.989	0.9878	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
84001	23.33361111111111	B12	0.998	0.9966	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
85201	23.666944444444443	B12	1.005	1.0062	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
86401	24.00027777777778	B12	1.014	1.016	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
87601	24.33361111111111	B12	1.025	1.027	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
88801	24.666944444444443	B12	1.038	1.0374	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
90002	25.00055555555555	B12	1.053	1.0492	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
91202	25.33388888888889	B12	1.057	1.0614	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
92402	25.66722222222222	B12	1.073	1.072	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
93602	26.00055555555555	B12	1.086	1.0816	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
94802	26.33388888888889	B12	1.091	1.0928	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
96002	26.66722222222222	B12	1.101	1.103	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
97202	27.00055555555555	B12	1.113	1.1126	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
98402	27.33388888888889	B12	1.124	1.1222	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
