y0	mumax	r2	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	streptomycin	plate_name
0.03909288887165715	0.03372818328992194	0.9997843612989628	H1287	anc	NA	a	diffusion_test_M9_start	B01B02	M9	0	plate01
0.13448622091453546	0.002240414197537324	0.9861294923774866	NA	NA	NA	a	diffusion_test_M9_start	B01B02	R2A	0	plate01
0.05968766027938496	0.03747447960257201	0.9999642719483396	H1287	evo	NA	a	diffusion_test_M9_start	B03B04	M9	0	plate01
0.14264852429581037	0.0013763398067506752	0.9975870196629759	NA	NA	NA	a	diffusion_test_M9_start	B03B04	R2A	0	plate01
0.0481328546949777	0.1086922544786074	0.9998891423305241	H1977	anc	NA	a	diffusion_test_M9_start	B05B06	M9	0	plate01
0.14202441895998272	0.001303741563844853	0.9894845040546354	NA	NA	NA	a	diffusion_test_M9_start	B05B06	R2A	0	plate01
0.026615754094189092	0.047786297207032126	0.9999504195933301	H1977	evo	NA	a	diffusion_test_M9_start	B07B08	M9	0	plate01
0.13992535537470902	7.431268649890648e-5	0.9740133093230853	NA	NA	NA	a	diffusion_test_M9_start	B07B08	R2A	0	plate01
0.14673935434551513	2.0062273277259544e-4	0.9959425360581471	NA	NA	NA	a	monoculture	B09B10	R2A	0	plate01
0.04551327438173658	0.2662447054994011	0.9997840369171501	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01
0.13676176356380063	0.0026139511586511883	0.9886890246942478	NA	NA	NA	a	monoculture	B11B12	R2A	0	plate01
0.015554851270745672	0.25912584611175044	0.9999818612903069	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01
0.0846753376327875	0.10861646848493639	0.9999311409826236	H1287	anc	NA	b	diffusion_test_M9_start	C01C02	M9	0	plate01
0.14984370634304403	0.0015980572035906304	0.996589636681057	NA	NA	NA	b	diffusion_test_M9_start	C01C02	R2A	0	plate01
0.10384945881959921	0.00979361174695739	0.9982990631658321	H1287	evo	NA	b	diffusion_test_M9_start	C03C04	M9	0	plate01
0.13773477940053938	0.0019895550176661724	0.9452611515205042	NA	NA	NA	b	diffusion_test_M9_start	C03C04	R2A	0	plate01
0.1158673809623496	0.006699321759994008	0.9997324170152693	H1977	anc	NA	b	diffusion_test_M9_start	C05C06	M9	0	plate01
0.14865873850335634	5.037216812942045e-4	0.9971283494929692	NA	NA	NA	b	diffusion_test_M9_start	C05C06	R2A	0	plate01
0.032561016196255496	0.13589482560300756	0.999956170632064	H1977	evo	NA	b	diffusion_test_M9_start	C07C08	M9	0	plate01
0.14055237823019592	6.881909432261012e-4	0.9977314301143747	NA	NA	NA	b	diffusion_test_M9_start	C07C08	R2A	0	plate01
0.11060501378621042	0.0055812807369002735	0.99687174060464	NA	NA	NA	b	monoculture	C09C10	R2A	0	plate01
0.04445791785754952	0.26383871348427146	0.999766846669821	H1287	anc	NA	b	monoculture	C09C10	R2A	0	plate01
0.1305979518180281	0.0026678402816701667	0.9871645060164719	NA	NA	NA	b	monoculture	C11C12	R2A	0	plate01
0.011061206539623879	0.29667247679706615	0.9999264934361723	H1977	anc	NA	b	monoculture	C11C12	R2A	0	plate01
0.02251843316764077	0.08488833586840767	0.9999179740955914	H1287	anc	NA	c	diffusion_test_M9_start	D01D02	M9	0	plate01
0.13569219117308434	0.0012846621855649057	0.9910652827064914	NA	NA	NA	c	diffusion_test_M9_start	D01D02	R2A	0	plate01
0.11853968144193991	0.011730342980900131	0.9998612856156256	H1287	evo	NA	c	diffusion_test_M9_start	D03D04	M9	0	plate01
0.13484110151168507	9.958512525726263e-4	0.989611595646199	NA	NA	NA	c	diffusion_test_M9_start	D03D04	R2A	0	plate01
0.03000976827020284	0.037560794779914405	0.9996419156881475	H1977	anc	NA	c	diffusion_test_M9_start	D05D06	M9	0	plate01
0.14300665762646156	1.2202398565177361e-4	0.9972464068989138	NA	NA	NA	c	diffusion_test_M9_start	D05D06	R2A	0	plate01
0.0533120553816557	0.08896202047375418	0.9999490032331538	H1977	evo	NA	c	diffusion_test_M9_start	D07D08	M9	0	plate01
0.13814761867990624	5.039627692108961e-4	0.9914776571319659	NA	NA	NA	c	diffusion_test_M9_start	D07D08	R2A	0	plate01
0.14540710203866503	1.28054649356195e-4	0.9988187014035173	NA	NA	NA	c	monoculture	D09D10	R2A	0	plate01
0.046925701289111575	0.2784656111196849	0.999696649676991	H1287	anc	NA	c	monoculture	D09D10	R2A	0	plate01
0.13730991059035644	0.0016797154603803489	0.9910142284323901	NA	NA	NA	c	monoculture	D11D12	R2A	0	plate01
0.01464282105762421	0.2662511147675424	0.9999759450114462	H1977	anc	NA	c	monoculture	D11D12	R2A	0	plate01
0.13034485903387324	0.0021658304903878706	0.9226185619454237	NA	NA	NA	a	diffusion_test_broth_start	E01E02	M9	0	plate01
0.045059461112351644	0.26354650794822876	0.9996839382389883	H1287	anc	NA	a	diffusion_test_broth_start	E01E02	R2A	0	plate01
0.13545886322837372	9.162813607882797e-4	0.9228393567150032	NA	NA	NA	a	diffusion_test_broth_start	E03E04	M9	0	plate01
0.030454100932344175	0.2153149971599805	0.9998777290523915	H1287	evo	NA	a	diffusion_test_broth_start	E03E04	R2A	0	plate01
0.1305626616157992	0.0017715260108224088	0.9635433472163218	NA	NA	NA	a	diffusion_test_broth_start	E05E06	M9	0	plate01
0.014784013145539402	0.27623602260573	0.9999627520512325	H1977	anc	NA	a	diffusion_test_broth_start	E05E06	R2A	0	plate01
0.126980521679101	0.0019966249554246676	0.9887935247925844	NA	NA	NA	a	diffusion_test_broth_start	E07E08	M9	0	plate01
0.011137042370692556	0.2851868184029367	0.9999243479521472	H1977	evo	NA	a	diffusion_test_broth_start	E07E08	R2A	0	plate01
0.13886237621720976	7.503714794108757e-4	0.996719073772088	NA	NA	NA	a	monoculture	E09E10	R2A	0	plate01
0.024756442158489763	0.2534522463869088	0.999871182295763	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01
0.13370663915911343	0.0021984165842052535	0.9566697168201209	NA	NA	NA	a	monoculture	E11E12	R2A	0	plate01
0.01732515122305817	0.23063202426653634	0.9999521430966941	H1977	evo	NA	a	monoculture	E11E12	R2A	0	plate01
0.12195533835962663	0.002420958909837425	0.9707380073360682	NA	NA	NA	b	diffusion_test_broth_start	F01F02	M9	0	plate01
0.04410338050768337	0.27262150675229935	0.9995713933139432	H1287	anc	NA	b	diffusion_test_broth_start	F01F02	R2A	0	plate01
0.13972640497663877	0.0013557583134092257	0.9974539691965101	NA	NA	NA	b	diffusion_test_broth_start	F03F04	M9	0	plate01
0.032433531411261075	0.2166572906977962	0.9998301568540857	H1287	evo	NA	b	diffusion_test_broth_start	F03F04	R2A	0	plate01
0.12902754504673833	0.0027441215802296	0.9937037207525885	NA	NA	NA	b	diffusion_test_broth_start	F05F06	M9	0	plate01
0.022849098014570832	0.23031085978768323	0.9999395812297468	H1977	anc	NA	b	diffusion_test_broth_start	F05F06	R2A	0	plate01
0.1278287891553017	0.0028229700018096776	0.9902403739894644	NA	NA	NA	b	diffusion_test_broth_start	F07F08	M9	0	plate01
0.014774272684009052	0.26710234857323173	0.9998922238437841	H1977	evo	NA	b	diffusion_test_broth_start	F07F08	R2A	0	plate01
0.0074485588998194205	0.06495403772013396	0.9960191452134457	NA	NA	NA	b	monoculture	F09F10	R2A	0	plate01
0.02920817813951431	0.2281328299964379	0.9998804231149708	H1287	evo	NA	b	monoculture	F09F10	R2A	0	plate01
0.14475969960948948	1.0709591984955693e-4	0.9967876430548597	NA	NA	NA	b	monoculture	F11F12	R2A	0	plate01
0.015544599560361371	0.24012966543358447	0.99994274380637	H1977	evo	NA	b	monoculture	F11F12	R2A	0	plate01
0.13500988953500156	0.001656018601859093	0.9716621337475099	NA	NA	NA	c	diffusion_test_broth_start	G01G02	M9	0	plate01
0.04564613284809215	0.2642277001270502	0.9995923842714729	H1287	anc	NA	c	diffusion_test_broth_start	G01G02	R2A	0	plate01
0.11577450762498397	0.0034864423278612054	0.9682394396326158	NA	NA	NA	c	diffusion_test_broth_start	G03G04	M9	0	plate01
0.034225396736897	0.21502663563682187	0.9998060654953856	H1287	evo	NA	c	diffusion_test_broth_start	G03G04	R2A	0	plate01
0.14480280228957482	0.007150372738184326	0.9715593775788475	NA	NA	NA	c	diffusion_test_broth_start	G05G06	M9	0	plate01
0.01891934598338277	0.2519089949187743	0.999939532756826	H1977	anc	NA	c	diffusion_test_broth_start	G05G06	R2A	0	plate01
0.1291951125498475	0.0025597920936746596	0.9932028290520512	NA	NA	NA	c	diffusion_test_broth_start	G07G08	M9	0	plate01
0.015016746416966029	0.24978929465971764	0.9999386279762655	H1977	evo	NA	c	diffusion_test_broth_start	G07G08	R2A	0	plate01
0.14427987267896897	6.066399568471883e-4	0.993813622932185	NA	NA	NA	c	monoculture	G09G10	R2A	0	plate01
0.029919637673435705	0.23481466644681642	0.9998482740022921	H1287	evo	NA	c	monoculture	G09G10	R2A	0	plate01
0.1357372820182713	0.002453185691000043	0.9778344654877186	NA	NA	NA	c	monoculture	G11G12	R2A	0	plate01
0.011979308228279945	0.282484896532331	0.9999217756133578	H1977	evo	NA	c	monoculture	G11G12	R2A	0	plate01
0.046862368682782075	0.3127039358988242	0.9997704510064332	H1287	anc	A1287_E1287	a	coculture	B01B02	R2A	0	plate02
0.043954465479999795	0.19878214999016863	0.9998709224967016	H1287	evo	A1287_E1287	a	coculture	B01B02	R2A	0	plate02
0.04966505854510506	0.29993863859667175	0.9996840813998755	H1287	anc	A1287_A1977	a	coculture	B03B04	R2A	0	plate02
0.018807843656644424	0.2681150523874281	0.9999456322484582	H1977	anc	A1287_A1977	a	coculture	B03B04	R2A	0	plate02
0.06560705719514459	0.2668365821544482	0.9997356658713047	H1287	anc	A1287_E1977	a	coculture	B05B06	R2A	0	plate02
0.01321663496331256	0.23716275800041264	0.9999128213402805	H1977	evo	A1287_E1977	a	coculture	B05B06	R2A	0	plate02
0.02913027044602264	0.26111859053656356	0.9998054938370504	H1287	evo	E1287_A1977	a	coculture	B07B08	R2A	0	plate02
0.013434154222395191	0.30313491287015126	0.9999288290697873	H1977	anc	E1287_A1977	a	coculture	B07B08	R2A	0	plate02
0.028939996995161234	0.2629664841890523	0.9997528302815305	H1287	evo	E1287_E1977	a	coculture	B09B10	R2A	0	plate02
0.021405302808094783	0.19090630013058443	0.9999144688241002	H1977	evo	E1287_E1977	a	coculture	B09B10	R2A	0	plate02
0.0143957295491399	0.29547078625132145	0.9999448476450484	H1977	anc	A1977_E1977	a	coculture	B11B12	R2A	0	plate02
0.015153077650585822	0.21788085729600432	0.9999154315822139	H1977	evo	A1977_E1977	a	coculture	B11B12	R2A	0	plate02
0.04834760839238477	0.3068804660712943	0.9997974857734838	H1287	anc	A1287_E1287	b	coculture	C01C02	R2A	0	plate02
0.046124794227287026	0.19472093948209174	0.9998308159844693	H1287	evo	A1287_E1287	b	coculture	C01C02	R2A	0	plate02
0.05860965188300081	0.2788994514454132	0.9998729092454722	H1287	anc	A1287_A1977	b	coculture	C03C04	R2A	0	plate02
0.013122088589335133	0.30992956813903244	0.9998831933663646	H1977	anc	A1287_A1977	b	coculture	C03C04	R2A	0	plate02
0.047830479438157124	0.2780202585416503	0.9998590911170003	H1287	anc	A1287_E1977	b	coculture	C05C06	R2A	0	plate02
0.008751437904445637	0.2745984784448974	0.9999263793130553	H1977	evo	A1287_E1977	b	coculture	C05C06	R2A	0	plate02
0.032476845682210924	0.24720454428924374	0.9997667878442216	H1287	evo	E1287_A1977	b	coculture	C07C08	R2A	0	plate02
0.011685997159356292	0.32372119805546046	0.9998890657577012	H1977	anc	E1287_A1977	b	coculture	C07C08	R2A	0	plate02
0.030729727199271615	0.2519516660374854	0.9997803088906577	H1287	evo	E1287_E1977	b	coculture	C09C10	R2A	0	plate02
0.02039044004915435	0.19104897594080983	0.9999642929419018	H1977	evo	E1287_E1977	b	coculture	C09C10	R2A	0	plate02
0.01561674611340603	0.2962396380004573	0.9999394531279177	H1977	anc	A1977_E1977	b	coculture	C11C12	R2A	0	plate02
0.008089467481958561	0.2394457673762602	0.9998403840811654	H1977	evo	A1977_E1977	b	coculture	C11C12	R2A	0	plate02
0.04775086296500899	0.30739972131767423	0.999804594114447	H1287	anc	A1287_E1287	c	coculture	D01D02	R2A	0	plate02
0.04724229833359633	0.19215882828143072	0.999834793399418	H1287	evo	A1287_E1287	c	coculture	D01D02	R2A	0	plate02
0.04997645090601445	0.3037740574140018	0.99980832813907206	H1287	anc	A1287_A1977	c	coculture	D03D04	R2A	0	plate02
0.011319152768977048	0.3225085570532306	0.9998371439426029	H1977	anc	A1287_A1977	c	coculture	D03D04	R2A	0	plate02
0.050217073252450124	0.30817010208972073	0.9997972966282861	H1287	anc	A1287_E1977	c	coculture	D05D06	R2A	0	plate02
0.009247746757465198	0.26406259163270407	0.9999273790110078	H1977	evo	A1287_E1977	c	coculture	D05D06	R2A	0	plate02
0.03484900669330107	0.2419566914793806	0.9998055911323172	H1287	evo	E1287_A1977	c	coculture	D07D08	R2A	0	plate02
0.01726996705045898	0.2714594179754241	0.9999690711980315	H1977	anc	E1287_A1977	c	coculture	D07D08	R2A	0	plate02
0.03266704627214128	0.24693790781747862	0.9997847006738223	H1287	evo	E1287_E1977	c	coculture	D09D10	R2A	0	plate02
0.019062607111269888	0.19670604022563748	0.9999750955283754	H1977	evo	E1287_E1977	c	coculture	D09D10	R2A	0	plate02
0.02043152718188688	0.26408302347178736	0.9999582670887048	H1977	anc	A1977_E1977	c	coculture	D11D12	R2A	0	plate02
0.008834933638151465	0.234116302047153	0.9999049431336152	H1977	evo	A1977_E1977	c	coculture	D11D12	R2A	0	plate02
0.047859295011567285	0.304065799064442	0.9998204384051889	H1287	anc	A1287_E1287	d	coculture	E01E02	R2A	0	plate02
0.046991070233961596	0.19688677779041525	0.9997849303195169	H1287	evo	A1287_E1287	d	coculture	E01E02	R2A	0	plate02
0.05182620046385888	0.2865141521420752	0.9998416996149625	H1287	anc	A1287_A1977	d	coculture	E03E04	R2A	0	plate02
0.014252049391422845	0.3033499221119058	0.9999226749797561	H1977	anc	A1287_A1977	d	coculture	E03E04	R2A	0	plate02
0.048594631003262355	0.3011358199402692	0.9998575030762213	H1287	anc	A1287_E1977	d	coculture	E05E06	R2A	0	plate02
0.012405715262509885	0.2399036052626046	0.9999445287891672	H1977	evo	A1287_E1977	d	coculture	E05E06	R2A	0	plate02
0.03070852429670556	0.2554399872138806	0.9997701452053028	H1287	evo	E1287_A1977	d	coculture	E07E08	R2A	0	plate02
0.015742365106143453	0.2890260138698782	0.999946362376904	H1977	anc	E1287_A1977	d	coculture	E07E08	R2A	0	plate02
0.032403535060283144	0.24545725253839826	0.9998536926601816	H1287	evo	E1287_E1977	d	coculture	E09E10	R2A	0	plate02
0.0058971013613651115	0.2931328785537679	0.9999088516897543	H1977	evo	E1287_E1977	d	coculture	E09E10	R2A	0	plate02
0.014872436017819107	0.30149358742521953	0.9999024918625901	H1977	anc	A1977_E1977	d	coculture	E11E12	R2A	0	plate02
0.01778582675185597	0.20779822396263306	0.9999481967385737	H1977	evo	A1977_E1977	d	coculture	E11E12	R2A	0	plate02
0.04851804903595551	0.3062770097963928	0.9997870372442502	H1287	anc	A1287_E1287	e	coculture	F01F02	R2A	0	plate02
0.052412442946602654	0.1926406227189303	0.9997571667205137	H1287	evo	A1287_E1287	e	coculture	F01F02	R2A	0	plate02
0.05195850818977385	0.29102489558563266	0.9998081838700406	H1287	anc	A1287_A1977	e	coculture	F03F04	R2A	0	plate02
0.013529184938232007	0.2965247540795615	0.9998870520237827	H1977	anc	A1287_A1977	e	coculture	F03F04	R2A	0	plate02
0.051095820323431906	0.28435079829804866	0.9998780624039141	H1287	anc	A1287_E1977	e	coculture	F05F06	R2A	0	plate02
0.012793743974078106	0.23619923661889114	0.9999482471357967	H1977	evo	A1287_E1977	e	coculture	F05F06	R2A	0	plate02
0.03268556380859252	0.24723357053013506	0.9997924518264721	H1287	evo	E1287_A1977	e	coculture	F07F08	R2A	0	plate02
0.014808325478441839	0.2975080548177452	0.9998846896718199	H1977	anc	E1287_A1977	e	coculture	F07F08	R2A	0	plate02
0.030273423719196335	0.25122764039887535	0.9998288680697857	H1287	evo	E1287_E1977	e	coculture	F09F10	R2A	0	plate02
0.00951299455159616	0.2589199084168368	0.9999352542762315	H1977	evo	E1287_E1977	e	coculture	F09F10	R2A	0	plate02
0.017355265199108825	0.28126332677487464	0.9999591046964481	H1977	anc	A1977_E1977	e	coculture	F11F12	R2A	0	plate02
0.01968418164901909	0.1998666568528404	0.999890828462554	H1977	evo	A1977_E1977	e	coculture	F11F12	R2A	0	plate02
0.0493112561734264	0.30630061229372674	0.9997815153549261	H1287	anc	A1287_E1287	f	coculture	G01G02	R2A	0	plate02
